"pid","citation_year","citation_count"
"1","2005","4"
"1","2006","7"
"1","2007","14"
"1","2008","18"
"1","2009","50"
"1","2010","54"
"1","2011","55"
"1","2012","43"
"1","2013","92"
"1","2014","51"
"1","2015","91"
"1","2016","66"
"1","2017","75"
"1","2018","85"
"1","2019","94"
"1","2020","127"
"1","2021","90"
"1","2022","130"
"1","2023","25"
"2","2011","3"
"2","2012","13"
"2","2013","22"
"2","2014","31"
"2","2015","64"
"2","2016","37"
"2","2017","49"
"2","2018","44"
"2","2019","47"
"2","2020","37"
"2","2021","31"
"2","2022","30"
"2","2023","18"
"3","2018","2"
"3","2019","1"
"3","2020","10"
"3","2021","9"
"3","2022","13"
"3","2023","8"
"4","2016","2"
"4","2017","8"
"4","2018","14"
"4","2019","31"
"4","2020","24"
"4","2021","41"
"4","2022","35"
"4","2023","8"
"5","2014","2"
"5","2015","9"
"5","2016","2"
"5","2017","10"
"5","2018","10"
"5","2019","10"
"5","2020","22"
"5","2021","151"
"5","2022","211"
"5","2023","49"
"6","2004","8"
"6","2005","14"
"6","2006","25"
"6","2007","5"
"6","2008","26"
"6","2009","18"
"6","2010","44"
"6","2011","37"
"6","2012","46"
"6","2013","71"
"6","2014","79"
"6","2015","140"
"6","2016","134"
"6","2017","167"
"6","2018","201"
"6","2019","253"
"6","2020","377"
"6","2021","407"
"6","2022","483"
"6","2023","199"
"7","2003","6"
"7","2004","5"
"7","2005","4"
"7","2006","19"
"7","2007","6"
"7","2008","30"
"7","2009","46"
"7","2010","88"
"7","2011","132"
"7","2012","116"
"7","2013","102"
"7","2014","106"
"7","2015","146"
"7","2016","129"
"7","2017","149"
"7","2018","167"
"7","2019","133"
"7","2020","117"
"7","2021","122"
"7","2022","114"
"7","2023","45"
"8","2005","2"
"8","2006","8"
"8","2007","5"
"8","2008","7"
"8","2009","3"
"8","2010","9"
"8","2011","5"
"8","2012","10"
"8","2013","8"
"8","2014","19"
"8","2015","13"
"8","2016","41"
"8","2017","47"
"8","2018","59"
"8","2019","68"
"8","2020","41"
"8","2021","43"
"8","2022","21"
"9","2010","4"
"9","2011","2"
"9","2012","3"
"9","2013","17"
"9","2014","25"
"9","2015","20"
"9","2016","32"
"9","2017","37"
"9","2018","44"
"9","2019","53"
"9","2020","49"
"9","2021","45"
"9","2022","61"
"9","2023","18"
"10","2010","5"
"10","2011","17"
"10","2012","19"
"10","2013","19"
"10","2014","26"
"10","2015","29"
"10","2016","36"
"10","2017","39"
"10","2018","45"
"10","2019","39"
"10","2020","45"
"10","2021","38"
"10","2022","45"
"10","2023","15"
"11","2003","9"
"11","2004","23"
"11","2005","40"
"11","2006","57"
"11","2007","49"
"11","2008","50"
"11","2009","72"
"11","2010","86"
"11","2011","69"
"11","2012","75"
"11","2013","109"
"11","2014","88"
"11","2015","89"
"11","2016","99"
"11","2017","122"
"11","2018","165"
"11","2019","209"
"11","2020","222"
"11","2021","196"
"11","2022","186"
"11","2023","55"
"12","2004","2"
"12","2005","4"
"12","2006","10"
"12","2007","3"
"12","2008","8"
"12","2009","9"
"12","2010","9"
"12","2011","7"
"12","2012","12"
"12","2013","10"
"12","2014","19"
"12","2015","23"
"12","2016","17"
"12","2017","23"
"12","2018","18"
"12","2019","20"
"12","2020","25"
"12","2021","22"
"12","2022","24"
"12","2023","6"
"13","2006","2"
"13","2007","2"
"13","2008","3"
"13","2009","3"
"13","2010","4"
"13","2011","1"
"13","2012","3"
"13","2013","2"
"13","2014","8"
"13","2015","9"
"13","2016","34"
"13","2017","66"
"13","2018","63"
"13","2019","81"
"13","2020","117"
"13","2021","159"
"13","2022","37"
"14","1985","7"
"14","1986","13"
"14","1987","8"
"14","1988","6"
"14","1989","5"
"14","1990","10"
"14","1991","7"
"14","1992","8"
"14","1993","11"
"14","1994","11"
"14","1995","11"
"14","1996","7"
"14","1997","8"
"14","1998","9"
"14","1999","11"
"14","2000","11"
"14","2001","14"
"14","2002","16"
"14","2003","12"
"14","2004","23"
"14","2005","18"
"14","2006","35"
"14","2007","40"
"14","2008","41"
"14","2009","22"
"14","2010","52"
"14","2011","60"
"14","2012","82"
"14","2013","106"
"14","2014","112"
"14","2015","104"
"14","2016","144"
"14","2017","158"
"14","2018","170"
"14","2019","139"
"14","2020","162"
"14","2021","163"
"14","2022","184"
"14","2023","68"
"15","2010","1"
"15","2011","1"
"15","2012","3"
"15","2013","6"
"15","2014","5"
"15","2015","5"
"15","2016","2"
"15","2017","17"
"15","2018","35"
"15","2019","62"
"15","2020","26"
"16","2004","2"
"16","2005","2"
"16","2006","19"
"16","2007","14"
"16","2008","11"
"16","2009","21"
"16","2010","18"
"16","2011","20"
"16","2012","11"
"16","2013","24"
"16","2014","18"
"16","2015","36"
"16","2016","22"
"16","2017","26"
"16","2018","31"
"16","2019","20"
"16","2020","23"
"16","2021","60"
"16","2022","67"
"16","2023","8"
"17","2016","15"
"17","2017","11"
"17","2018","13"
"17","2019","12"
"17","2020","15"
"17","2021","15"
"17","2022","38"
"17","2023","20"
"18","2002","70"
"18","2003","113"
"18","2004","202"
"18","2005","253"
"18","2006","341"
"18","2007","524"
"18","2008","617"
"18","2009","831"
"18","2010","913"
"18","2011","1105"
"18","2012","1206"
"18","2013","1295"
"18","2014","1368"
"18","2015","1330"
"18","2016","1334"
"18","2017","1324"
"18","2018","1382"
"18","2019","1308"
"18","2020","1292"
"18","2021","1323"
"18","2022","1391"
"18","2023","348"
"19","1984","13"
"19","1985","29"
"19","1986","26"
"19","1987","34"
"19","1988","31"
"19","1989","25"
"19","1990","32"
"19","1991","49"
"19","1992","46"
"19","1993","50"
"19","1994","52"
"19","1995","69"
"19","1996","72"
"19","1997","73"
"19","1998","60"
"19","1999","65"
"19","2000","54"
"19","2001","52"
"19","2002","90"
"19","2003","60"
"19","2004","81"
"19","2005","79"
"19","2006","80"
"19","2007","132"
"19","2008","145"
"19","2009","138"
"19","2010","129"
"19","2011","126"
"19","2012","173"
"19","2013","140"
"19","2014","132"
"19","2015","121"
"19","2016","129"
"19","2017","157"
"19","2018","125"
"19","2019","153"
"19","2020","157"
"19","2021","147"
"19","2022","182"
"19","2023","39"
"20","1998","7"
"20","2002","5"
"20","2004","4"
"20","2006","2"
"20","2017","13"
"20","2018","14"
"20","2019","10"
"21","2009","6"
"21","2010","8"
"21","2011","5"
"21","2012","9"
"21","2013","20"
"21","2014","27"
"21","2015","12"
"21","2016","16"
"21","2017","30"
"21","2018","84"
"21","2019","110"
"21","2020","79"
"21","2021","95"
"21","2022","84"
"21","2023","19"
