"pid","coauthor_name","coauthor_affiliation"
"1","Sanjay Kumar Bose","Plaksha University"
"1","Babusena Paul","Senior Lecturer of Electrical Engineering, Univ. of Johannesburg"
"1","Mrinmoy Bharadwaj","IIT Guwahati"
"1","Jitendra Prajapati","Asst. Prof., Dept. of Electrical Engg., Shiv Nadar Institution of Eminence Deemed to be University"
"1","Rajib Jana","Asst. Profesor of Electrical Engineering Dept. NIT Arunachal Pradesh"
"1","Samar Shailendra","Intel"
"1","Rakhesh Singh Kshetrimayum","IIT Guwahati"
"1","Dr. Sam Darshi","Assistant Professor, IIT Ropar, PUNJAB, INDIA"
"1","Sukumar Nandi","IIT Guwahati"
"1","Rohit Sinha","IIT Guwahati"
"1","Dr. Anoop P","RF Engineering Manager, Optimal Connectivity LLC, Dubai, U.A.E"
"1","Gerhard P. Fettweis","Vodafone Chair Professor, TU Dresden"
"1","Abul Hasan","University of Calgary"
"1","rajeev gangula","Eurecom"
"1","Paulo Milheiro Mendes","Airbus - Expert in Network Architectures and Protocols"
"2","M K Bhuyan","IIT Guwahati"
"2","Dinesh K. Pai","Professor and Tier 1 Canada Research Chair, University of British Columbia"
"2","Mithun Kumar Kar","IIT Guwahati"
"2","Shinjiro Sueda","Texas A&amp;M University"
"2","Duo Li","University of British Columbia"
"2","Yuji Iwahori","Dept. of Computer Science, Chubu University"
"2","Sang-Hoon Yeo","The University of Birmingham"
"2","Karl F. MacDorman","Associate Dean, Luddy School of Informatics, Computing, and Engineering, Indiana University"
"2","Anurag Ranjan","Researcher, Apple Machine Intelligence"
"2","Malaya Kumar Nath","Assistant Professor, Department of ECE, National Institute of Technology Puducherry"
"2","João Libório Cardoso","Marie Curie Fellow, TU Wien"
"2","Brian C. Lovell","Professor, The University of Queensland"
"2","Prathik Gadde","BatchX Inc."
"2","Ye Fan","Computer Science, University of British Columbia"
"2","Jocelyne Troccaz","CNRS, Directrice de Recherche"
"2","Francois Faure","ljk, inria"
"2","Robert J. Woodham","Professor Emeritus of Computer Science, University of British Columbia"
