"rid","rdomain_label"
"1","0000000100000000010000000000000000010"
"2","0000000100000000010000000000000000010"
"3","0000000000000000010000001000000000010"
"4","1000000000000000010000000000000000100"
"5","0000000100000000110000000000000000000"
"6","0000000000001100000000000000010000000"
"7","0000000000001100000000000100000000000"
"8","0000000000001100000000000100000000000"
"9","0000000000000100010000001000000000000"
"10","1000000000000000010000000000000000010"
"11","0000000100000000010000000000000000010"
"12","0000000000001100000000000100000000000"
"13","0000000100000000010000000000000000010"
"14","0000000000000100000000001010000000000"
"15","0000000100000000010100000000000000000"
"16","0000000000001100000000000000000000100"
"32","0000000100000000010000000000000000100"
"33","0000000000000100110000000000000000000"
"34","1000000000000000010000000000000000010"
"35","0000000100000000010000000000000000010"
"36","0000000100000000110000000000000000000"
"37","0000000000001100000000000000010000000"
"38","0000000000000000110000000000000000010"
"39","0000000000000100110000000000000000000"
"40","0000000100000000010100000000000000000"
"42","0000000000001100000000000000010000000"
"43","0000000000000000110000000000000001000"
"44","0000000100000000010000000000000000010"
"45","0000000000000100110000000000000000000"
"46","0000000010001000000000000000010000000"
"47","0000000100000000010000000000000000010"
"48","0000000100000000010100000000000000000"
"49","0000000100000000010100000000000000000"
"50","0000000100000000010000001000000000000"
"51","0000000000000100110000000000000000000"
"52","0000000100000000010100000000000000000"
"53","0000000000001000000000000000001000010"
"54","0000000100000000010000000000000000100"
"55","0000000000000000010000000000000000010"
"56","0000000000000000010000001000000000000"
"57","0000000000000000010000100000010000000"
"58","1000000100000000010000000000000000000"
"59","0000000000000000110100000000000000000"
"60","0000000001000000010000000000000000000"
"62","0000000000000000111000000000000000000"
"63","0000000010000000010000000000010000000"
"64","0001010000000000000000000000010000000"
"65","0100001000000000000000000000000100000"
"66","0000000100100000010000000000000000000"
"67","0000000100000000010100000000000000000"
"68","0000000101000000010000000000000000000"
"69","0000000100000000010000000000000000010"
"70","0000000100000000010100000000000000000"
"71","0000001000000000000000000000000000011"
"72","0000000100000000010000000000000000010"
"73","0000000100000000010000000000000000010"
"74","0000000100000000000000000000000001010"
"75","0000000000000000000000000100000010010"
"76","1000000000000000010000000000000000100"
"77","1000000000000000010100000000000000000"
"78","0000000100000000010100000000000000000"
"79","0000000100000000110000000000000000000"
"80","1000001000000000000000001000000000000"
"81","0000000100000000010100000000000000000"
"82","0000000001000000010000000000000000010"
"84","0000000100000000010100000000000000000"
"85","0000001000000000000000000100100000000"
"86","0000000000000000010110000000000000000"
"87","0000000000000000010000001100000000000"
"88","0000000000000000010110000000000000000"
"89","0000000100000000110000000000000000000"
"90","0000000000000000010000001100000000000"
"91","0000000100000000110000000000000000000"
"92","0000000100000000010000000100000000000"
"93","0000000000000000010000001100000000000"
"94","0000000100000000010100000000000000000"
"96","0000000100000000010100000000000000000"
"97","0000000100000000000000001100000000000"
"98","0000000100000000010000001000000000000"
"99","0000000100000000010100000000000000000"
"100","0000000100000000010100000000000000000"
"102","0000000100000000010100000000000000000"
"103","0000000000000000000000000000000000000"
"104","0000000100000000010100000000000000000"
"105","0000000100000000010100000000000000000"
"106","0000000000000000010000000000000100010"
"107","0000000000000000000000000000000000000"
"108","0000000000000000000000000000000000000"
"109","0000000000000000010100001000000000000"
"110","0000000000000000010000000000100000100"
"111","0000000000000000010100000000000001000"
"112","0000000000000000000000000100000010010"
"113","0000000000000000010000001000000000010"
"114","0000000001100000010000000000000000000"
"115","0000000000000000000000000000000110010"
"116","1000000100000000010000000000000000000"
"117","0000000000000000010100000000000001000"
"118","0000000100000000010000000000000001000"
"120","0000000000000000010000000000000001010"
"121","0000000100000000010100000000000000000"
"122","0000000100000000010100000000000000000"
"123","0000000000000000110100000000000000000"
"124","0000000100000000010000000000000000010"
"125","1000000000000000010000000000000001000"
"126","0000000000000000010000000000000001100"
"127","0000000000000000010000000000000001100"
"128","0000000010000001000000000000010000000"
"129","0000000000000001010100000000000000000"
"130","0000000000000001010100000000000000000"
"131","0000000000100000010000000100000000000"
"132","0000000100000000010100000000000000000"
"133","0000000000000000010100000000000001000"
"134","0000000100000000010100000000000000000"
"135","0000000100000000010000000000000000010"
"136","0000000000000000010000000000000001100"
"138","0000000000000000010000000000000001100"
"139","1000000000000000010000000000000000100"
"140","0000000100000000010100000000000000000"
"141","0000000000000000010000001000000001000"
"142","0000000010000001000000000000000000001"
"143","1000000000000000010000000000000000010"
"144","0000000000000001010100000000000000000"
"145","0010000000000100000000000000000000010"
"146","0000000001100000010000000000000000000"
"147","0000000010000001000000000000010000000"
"148","0000000100000000010100000000000000000"
"150","0000000100000000010100000000000000000"
"151","0000000000000000010000001000000001000"
"152","0000000000000001010100000000000000000"
"153","0001000011000000000000000000000000000"
"154","0000000100000000010100000000000000000"
"155","0000000000000000010100001000000000000"
"156","0000000010000000010000000000000100000"
"157","1000000100000000010000000000000000000"
"158","1000000000000000010000000000000000100"
"159","0000000000000000000000000000001001100"
"160","0000000010000000010000000000000100000"
"161","0000000000000000010100000000000000010"
"162","1000000000000000010000000000000001000"
"163","0000000001000000010000000000000001000"
"164","0000000000000000111000000000000000000"
"165","0000000010000001000000000000010000000"
"166","0000000100000000010100000000000000000"
"167","0000000100000000010100000000000000000"
"168","0000010010000001000000000000000000000"
"169","0000000100000000010100000000000000000"
"170","0000000100000000010100000000000000000"
"171","0000000000000000010000001000000001000"
"172","0000000000000000010100000000000000010"
"173","1000000000000000010000000000000001000"
"174","0000000000000000010000001100000000000"
"175","1000000000000000010000000000000001000"
"176","0000000000000000010100000000000001000"
"177","0000000000000000010100000000000001000"
"178","0000000000000000110000000000000001000"
"179","0000000100000000010100000000000000000"
"180","0000000000000100000000001000010000000"
"181","1000000000000000010000000000000000100"
"182","0000000100000000010100000000000000000"
"183","0000000010100001000000000000000000000"
"184","0000000000000001010100000000000000000"
"185","1000000000000000110000000000000000000"
"186","0001010000000000000000000000010000000"
"187","0000000100000000010100000000000000000"
"188","0000000000000000111000000000000000000"
"189","0000000000000001010100000000000000000"
"190","0000000000000000010000001000000000010"
"191","0001010000000000000000000000010000000"
"192","0000000000000001010100000000000000000"
"193","0000000000000001010100000000000000000"
"194","1000000000000000010000000000000000010"
"195","0000000000000000010000001000010000000"
"196","0000000000000000010000000000000001100"
"197","0000000001100000010000000000000000000"
"198","0000000010000001010000000000000000000"
"199","0000000000000000010000000000110000000"
"200","0010000000000100000000000000010000000"
"202","0000000000000000010000001000000000010"
"203","0000000000000000010100000000000001000"
"204","0000000100000000010000000000000001000"
"205","0000000001000000010000000000000001000"
"206","0000000100000000110000000000000000000"
"207","0000000000000000010110000000000000000"
"208","0000000010000001000000000000000000100"
"209","0000000100000000010100000000000000000"
"210","1000000000001000000000000000010000000"
"211","1000000000000000010000000000000000010"
"212","0000000100000000110000000000000000000"
"213","1000000010000000000000000000010000000"
"214","1000000010000000000000000000010000000"
"215","0001010000000000000000000000010000000"
"216","0001010000000000000000000000010000000"
"217","0000000100000000010100000000000000000"
"218","0000000010000001010000000000000000000"
"219","0000000000000001010100000000000000000"
"220","0000000000000001010100000000000000000"
"221","1000000010000000000000000000010000000"
"222","0000000100000000110000000000000000000"
"223","0000000010100001000000000000000000000"
"224","0000000000000000010000000100000000100"
"225","0000000000000001010000000000010000000"
"226","0000000000000000010000000000000001100"
"227","0000000000000001010100000000000000000"
"228","0000000100000000010000000000000000010"
"229","0000000000000000010100000000000001000"
"230","0000000100000000010100000000000000000"
"231","0000000100000000010000000000000001000"
"232","1000000000000000010000000000000000010"
"233","0000000000000000111000000000000000000"
"234","0000000100000000010000000000000000010"
"235","0000000001000000010000000000100000000"
"236","1000000000000000010000000000000000100"
"237","0000000100000000010000000000000001000"
"238","1000000000000000010100000000000000000"
"239","1000000000000000010000000000000000010"
"240","0000000000001100000000000000010000000"
"241","1000000000000000010000000000000000010"
"242","1000000100000000010000000000000000000"
"243","0000000000000001010100000000000000000"
"244","0000000100000000010100000000000000000"
"245","0000000100000000010100000000000000000"
"246","0000000000000000010000000000000001100"
"247","0000000100000000010100000000000000000"
"248","0000000100000000110000000000000000000"
"249","0000000000000000010000000000110000000"
"250","1000000000000000010000000000000001000"
"251","0000000010000001010000000000000000000"
"252","1010001000000000000000000000000000000"
"253","0000000100000000010100000000000000000"
"254","1000000000000000010000000000000000100"
"255","1000000000000000110000000000000000000"
"256","1000000000000000000000000001010000000"
"257","1000000010000000000000000000010000000"
"258","1000000000000000010000000000000000010"
"259","0000000010000001010000000000000000000"
"260","0000000000000000010100000000000001000"
"261","0000000100000000010100000000000000000"
"262","0000000100000000010100000000000000000"
"263","0000000000000001010000000000010000000"
"264","0000000100000000010100000000000000000"
"265","0000000000000000000000001110000000000"
"266","0000000000000000010000001000000000010"
"267","0001010000000100000000000000000000000"
"268","0000000000000000000000000111000000000"
"269","0000000000000000000001001100000000000"
"270","1000000000000000000000000101000000000"
"271","0000000100000000000000000001000000010"
"272","0000000000000000000001001100000000000"
"273","0000000000000000010000000000000001100"
"274","1000000000000000010000001000000000000"
"275","1000000000000000010100000000000000000"
"276","0000001000000000000010000100000000000"
"277","0000001000000000000010000100000000000"
"278","0000000000000000111000000000000000000"
"279","0000000000000000000010000000000000000"
"280","0000000000000000100010001000000000000"
"281","0000000000000000100010001000000000000"
"282","0000000000000000000010000100100000000"
"283","0000000000000000010100000100000000000"
